일자,통화건수,한국은행 기준금리,지점,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),1시간 최다일사량(MJ/m2),일 최심신적설(cm),KOSPI지수,KOSDAQ지수
2013-12-01,62631,2.5,108,4.5,1.4,8.6,0,6.9,2.1,66.9,1.57,0,2030.78,512.69
2013-12-02,35513,2.5,108,3.9,0.1,6.6,0,5.2,1.4,64.3,0.53,0,2030.78,512.69
2013-12-03,38600,2.5,108,6.7,4.5,9.9,0,7.7,1.6,62.6,1.29,0,2009.36,508.16
2013-12-04,40319,2.5,108,5.5,2.1,9.6,0,6.2,1.8,72.8,1.28,0,1986.8,506.28
2013-12-05,42425,2.5,108,5.5,2.1,9,0,6.9,2.4,73.4,0.87,0,1984.77,506.32
2013-12-06,50767,2.5,108,3,-0.7,7,0,7.2,2.7,42.6,1.63,0,1980.41,506.32
2013-12-07,64412,2.5,108,6.2,3.8,11,0.1,8.2,1.9,60.8,1.44,0,1980.41,506.32
2013-12-08,64725,2.5,108,4.2,2.5,6.5,0,6.3,2.8,75.3,0.4,0,1980.41,506.32
2013-12-09,42083,2.5,108,3.8,1.9,5.2,14,10.2,3.1,83.1,0.11,0,2000.38,502.23
2013-12-10,41425,2.5,108,0.3,-2.2,3.5,0,10.4,3.2,56.1,1.56,0,1993.45,497.72
2013-12-11,45384,2.5,108,-1.7,-4.3,0.2,2.6,13.2,3.9,64.1,1.38,3.3,1977.97,494.78
2013-12-12,48321,2.5,108,-3.2,-6.3,0.3,4.1,11,2.7,69.9,0.92,4.4,1967.93,495.64
2013-12-13,57583,2.5,108,-6.8,-8.9,-4.3,0,8.5,2.4,47.5,1.65,0,1962.91,494.36
2013-12-14,76072,2.5,108,-4.9,-8.5,-1.4,1.1,6.6,1.5,65.4,1.19,0.8,1962.91,494.36
2013-12-15,68239,2.5,108,-4.4,-8,0.7,0,6.1,1.9,48.1,1.63,0,1962.91,494.36
2013-12-16,39126,2.5,108,-3.6,-7.3,0.5,0,5.9,1.8,52.6,0.94,0,1961.15,488.19
2013-12-17,41842,2.5,108,-0.3,-5.5,4.7,0,4.9,1.5,52.4,1.47,0,1965.74,486.15
2013-12-18,42277,2.5,108,2.2,-0.9,6.5,0.8,8,2.4,65.1,1.45,1.9,1974.63,485.65
2013-12-19,45495,2.5,108,-3.5,-6.5,-0.9,0.3,11,4,60.6,1.22,0.9,1975.65,484.17
2013-12-20,52533,2.5,108,-4,-8.1,-0.1,0,10.1,2.6,56.3,1.41,0,1983.35,488.41
2013-12-21,66611,2.5,108,-3.1,-6.3,0.9,0,7.1,1.8,56.4,1.42,0,1983.35,488.41
2013-12-22,64178,2.5,108,-2.1,-6.8,3.1,0,5.7,1.9,57.5,1.5,0,1983.35,488.41
2013-12-23,40710,2.5,108,-1.1,-3.7,2.3,0,7,2.2,57.1,1.55,0,1996.89,489.63
2013-12-24,75330,2.5,108,-1.6,-5.9,4,0,5.4,1.7,58,1.47,0,2001.59,491.08
2013-12-25,70276,2.5,108,-0.5,-4.4,3.7,0,5.8,1.8,60.4,1.38,0,2001.59,491.08
2013-12-26,40634,2.5,108,-0.5,-4,2.7,1.6,9.9,2.6,67.8,0.65,1.7,1999.3,488.87
2013-12-27,49839,2.5,108,-6.8,-9.3,-3.7,0,9.7,3.4,49.5,1.55,0,2002.28,496.77
2013-12-28,63718,2.5,108,-6.5,-9.8,-2.7,0,9.7,2.5,44.1,1.63,0,2002.28,496.77
2013-12-29,63911,2.5,108,-2.9,-8,1.6,0.1,8.2,2.1,59.8,1.52,0.1,2002.28,496.77
2013-12-30,42781,2.5,108,2.2,-1.9,6.3,0,12.2,2.9,55.4,1.23,0,2011.34,499.99
2013-12-31,73181,2.5,108,3.8,0.5,8,0,13.2,3.6,58.8,1.31,0,2011.34,499.99
2014-01-01,55628,2.5,108,4,0.3,7.9,0,14.8,3.7,51.3,1.13,0,2011.34,499.99
2014-01-02,38344,2.5,108,1.5,-1.3,6.2,0,6,2,35.4,1.6,0,1967.19,496.28
2014-01-03,44865,2.5,108,2.3,-1.1,7.3,0,7.8,2.5,54.4,1.22,0,1946.14,499.33
2014-01-04,57280,2.5,108,-0.1,-3.7,5.6,0,7.6,2.4,47.1,1.46,0,1946.14,499.33
2014-01-05,56907,2.5,108,-0.8,-4.3,3.8,0,6.9,1.9,48.4,1.29,0,1946.14,499.33
2014-01-06,36267,2.5,108,0.8,-3.7,6.4,0,5.3,1.6,50.4,1.43,0,1953.28,500.62
2014-01-07,39305,2.5,108,3,0.3,5.5,0,4.4,1.7,56,0.56,0,1959.44,504.86
2014-01-08,42840,2.5,108,0.5,-5.7,4,0,11.3,3.3,56.6,1.09,0,1958.96,509.78
2014-01-09,45344,2.5,108,-7.8,-10.4,-4.3,0,11.1,3.6,26.3,1.73,0,1946.11,511.6
2014-01-10,51654,2.5,108,-4.7,-9.3,-0.9,0,7.2,2,48.6,1.48,0,1938.54,510.19
2014-01-11,60706,2.5,108,-1.7,-5.4,2.4,0,6.1,1.9,44.1,1.46,0,1938.54,510.19
2014-01-12,64649,2.5,108,-2.4,-7.7,2.5,0,10.5,3.4,43.5,1.38,0,1938.54,510.19
2014-01-13,39219,2.5,108,-6.2,-10.5,-1.6,0,8,2.9,26,1.73,0,1948.92,512.92
2014-01-14,41153,2.5,108,-4.3,-8.9,1.1,0,7.1,2.2,33.8,1.57,0,1946.07,512.27
2014-01-15,42854,2.5,108,-2.9,-7.6,2.2,0,6.8,1.7,42,1.61,0,1953.28,515.97
2014-01-16,43264,2.5,108,0.1,-4,3.6,0,5.6,1.9,59.9,1.02,0,1957.32,517.83
2014-01-17,49326,2.5,108,-0.1,-3.7,3.8,0,5.2,1.6,55.9,1.22,0,1944.48,518.1
2014-01-18,62632,2.5,108,-2.2,-4.9,0.8,0,10.9,3.1,42.4,1.69,0,1944.48,518.1
2014-01-19,60363,2.5,108,-2.6,-7.4,2.4,0,6.1,1.9,44.8,1.57,0,1944.48,518.1
2014-01-20,40782,2.5,108,-1.5,-4.2,1.9,5.3,10.4,3.2,83.3,0.68,5.3,1953.78,519.99
2014-01-21,41474,2.5,108,-5.5,-7.2,-3.1,0.7,7.2,2.4,62.6,0.84,0.8,1963.89,520.99
2014-01-22,41330,2.5,108,-3.9,-9.5,1.6,0,5.8,1.6,60,1.67,0,1970.42,523.07
2014-01-23,42229,2.5,108,-0.8,-5.2,4.1,0,5.7,2.1,66,1.5,0,1947.59,522.72
2014-01-24,47292,2.5,108,3,-1.1,5.7,0,6,2.6,64,0.58,0,1940.56,520.31
2014-01-25,63192,2.5,108,4.2,-0.4,6.3,3,8.9,2.4,74.4,0.54,0,1940.56,520.31
2014-01-26,57806,2.5,108,-2.1,-5.3,2.3,0,7.6,2.7,42.1,1.87,0,1940.56,520.31
2014-01-27,35717,2.5,108,0.2,-5.4,6,0,9.1,2.6,48,1.68,0,1910.34,507.51
2014-01-28,39980,2.5,108,1.5,-3,4.6,0.5,8.7,2.9,52.8,1.92,0,1916.93,509.29
2014-01-29,45606,2.5,108,2.2,-5.3,8.2,0,7.6,2.2,40.1,1.91,0,1941.15,515.2
2014-01-30,28743,2.5,108,4,-1,6.5,3.5,8.5,3,66.1,0.4,0,1941.15,515.2
2014-01-31,15414,2.5,108,1.3,-4.3,7,0,6.9,2.2,26.1,1.72,0,1941.15,515.2
2014-02-01,41323,2.5,108,4.9,3.7,6,11,8.4,3.4,63.8,0.12,0,1941.15,515.2
2014-02-02,48525,2.5,108,4.9,2.8,6.5,0.5,7.2,2,91.6,0.36,0,1941.15,515.2
2014-02-03,34308,2.5,108,-3.5,-8.2,2.8,0,10.8,4.3,38.5,1.53,0,1919.96,513.62
2014-02-04,37580,2.5,108,-7.4,-10.5,-3.7,0,11.5,3.4,25.9,2.04,0,1886.85,507.56
2014-02-05,39578,2.5,108,-4.8,-8.9,0.3,0,5.9,2,27.5,1.99,0,1891.32,505.62
